"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","incomequartile","orig.id","whichway"
"2270","Indiana","IN","Morgan County, Indiana",75.91725465,19.36177037,NA,4.720974984,15,85,13.9,4.5,76.6,30293.29969,15.5,6.65,69536,35.3,9.45,13.65,96.9,0.4,1.1,0.35,0.25,1,39.1,3.8,2.7,0.08,38.3,0.281,0.242,0.332,0.104,213.1,77.3,0.153,0.081,NA,NA,66.5,8.3,"Q4","2270","Republican"
"2150","Colorado","CO","Mineral County, Colorado",52.7607362,36.34969325,1.687116564,6.441717791,2.6,97.4,39.1,12,62.05,20429.57937,0,5.3,894,NA,5.7,0,95.9,0.15,2.05,0.3,0.6,1,58.4,2.4,NA,NA,NA,0,NA,0.197,0.072,NA,NA,0.22,0.048,0,NA,NA,NA,"Q1","2150","Republican"
"1527","Colorado","CO","Phillips County, Colorado",76.80102916,18.69639794,0.38593482,2.572898799,14.7,85.3,16,5.3,71.8,24790.03175,20.1,6.35,4460,42,9.95,11.35,77.45,0.25,20.7,0.5,0.3,0.8,40.9,NA,2.7,0.06,44.7,0.263,0.116,0.226,0.076,181.9,NA,0.229,0.049,66.93,NA,NA,NA,"Q2","1527","Republican"
"1608","Wisconsin","WI","Polk County, Wisconsin",61.09911419,33.35243048,1.022431801,3.904631792,8.6,91.4,18.4,5.5,75.25,27998.00159,13.25,9.25,44176,33.2,8.85,11.55,96.25,0.3,1.25,0.35,1.05,0.8,42.1,2.8,2.6,0.06,25.8,0.291,0.188,0.32,0.092,138.5,15.8,0.106,0.08,261.31,NA,81.2,NA,"Q3","1608","Republican"
"1949","Ohio","OH","Pike County, Ohio",66.61165639,29.90532442,0.469035004,2.336489186,22.6,77.4,12.6,5.5,76.75,22417.92191,35.65,15.3,28282,44.7,23.5,32.7,95.9,0.9,0.75,0.15,0.75,1.6,38.3,5.5,5.6,0.09,63.2,0.4,0.259,0.321,0.128,195.6,58.4,0.151,0.129,28.18,NA,69.7,8.2,"Q2","1949","Republican"
"2167","Iowa","IA","Cherokee County, Iowa",67.70126091,27.09343679,0.468800517,3.330100226,7.4,92.6,19.2,4.4,75.15,27268.0527,8.15,4.95,11876,40.1,4.95,5.8,95.95,0.6,2.2,0.6,0.1,0.55,46.9,NA,1.2,0.05,30.1,0.221,0.097,0.277,0.092,99.4,NA,0.101,0.046,311.88,NA,74.5,NA,"Q3","2167","Republican"
"1900","Texas","TX","Lavaca County, Texas",85.01100429,13.55264682,0.139001506,1.297347388,23.7,76.3,14,3.7,76.35,24314.32572,17.2,9.75,18947,40.1,10.65,16.1,77.05,6.8,15.2,0.2,0.1,0.7,44.5,4.4,NA,0.08,49.3,0.281,NA,0.292,0.123,144.7,87,0.243,0.045,93.84,NA,52,NA,"Q2","1900","Republican"
"1559","North Dakota","ND","Burleigh County, North Dakota",69.3326791,23.17916116,1.024021846,5.800657081,8,92,32.3,9,75.4,28868.34826,17.7,10.55,79178,39.5,9.1,11.75,92.3,0.5,1.3,0.55,3.75,1.6,37.5,2.8,2.4,0.07,23.8,0.251,0.133,0.267,0.074,396.9,NA,0.096,0.027,235.29,NA,54.9,8,"Q4","1559","Republican"
"220","Montana","MT","Powder River County, Montana",84.04966571,12.12989494,0.095510984,3.724928367,8.1,91.9,16.1,4.5,83.1,18627.46953,24.15,12.2,1705,42.9,12.05,14.05,95.2,0.05,1.4,0.1,1.25,2.1,46,2.3,1.5,NA,NA,0.272,0.16,0.251,0.086,NA,NA,0.277,0.04,NA,NA,NA,NA,"Q1","220","Republican"
"480","Wisconsin","WI","Waukesha County, Wisconsin",61.09622631,33.95163607,0.717614126,3.811414094,5,95,39.2,13.1,82.55,39045.15524,6.7,3.95,384369,49.4,4.25,5.25,91.15,1.3,3.8,2.55,0.15,1,41.3,3.1,2.8,0.06,9.7,0.175,0.161,0.249,0.074,158.9,34.2,0.06,0.06,70.3,0.89,59,4.6,"Q4","480","Republican"
"93","North Carolina","NC","Wayne County, North Carolina",54.9132948,43.19203597,NA,1.894669236,18.8,81.2,16.2,5.2,71.85,25124.19365,27,13.35,117956,34.1,18.4,26.05,56.95,31.5,8.4,0.95,0.25,1.95,36.5,4,3.5,0.09,56.5,0.418,0.236,0.341,0.123,727.6,388,0.2,0.089,463.18,10.56,70.5,9.1,"Q3","93","Republican"
"2029","Louisiana","LA","Catahoula Parish, Louisiana",71.64332784,27.22405272,0.28830313,0.350082372,32.1,67.9,10.5,3.5,66.55,20881.56984,30.85,24.5,10415,47.3,25.2,35.45,68.5,29.6,1,0,0.5,0.35,37.6,4.5,4.1,0.13,70.7,0.41,0.283,0.359,0.121,271.2,208.6,0.24,0.085,1649.2,NA,99.3,NA,"Q1","2029","Republican"
"1914","Indiana","IN","Jennings County, Indiana",73.97210976,21.26855601,NA,4.759334233,18.7,81.3,7.5,2.2,72.95,26165.19492,21.75,5.65,28288,27.2,12.15,15.5,96.05,0.8,1.75,0.2,0.2,0.95,37.6,5.7,5.1,0.08,64.2,0.342,0.331,0.284,0.104,227,29.1,0.174,0.101,185.18,NA,86.4,NA,"Q3","1914","Republican"
"2129","Wyoming","WY","Fremont County, Wyoming",67.50287131,25.38838179,1.408450704,4.67267122,11.2,88.8,22.8,8.5,71.05,24385.72191,22.45,7,38777,48.6,14.05,20.6,71.95,0.4,5.6,0.55,19.35,2.1,38.7,3.6,3.6,0.09,71.2,0.392,0.227,0.256,0.09,556.9,62.4,0.221,0.066,164.93,9.72,131.8,11.4,"Q2","2129","Republican"
"57","Louisiana","LA","Assumption Parish, Louisiana",61.57373441,36.05099046,0.357666911,1.164710198,30.8,69.2,8.5,2.5,71.45,28520.23111,32.7,15.95,23203,47.5,18.8,26.9,65.6,30.85,2.05,0.1,0.35,1,38.4,4.6,3.8,0.12,43.3,0.399,0.2,0.334,0.118,535.6,92.9,0.188,0.084,458.4,6.1,73.2,12.9,"Q4","57","Republican"
"444","Kansas","KS","Saline County, Kansas",63.03404697,28.6899934,2.098462699,6.177496935,11.7,88.3,23.6,8.4,75,25468.90476,28.55,6.25,54841,33.3,12.3,18.3,83.3,3.15,8.75,2,0.45,2.3,38,3.4,3.4,0.08,57.7,0.346,0.179,0.319,0.102,531.8,58.4,0.152,0.058,361.27,4.7,62.2,9.5,"Q3","444","Republican"
