"","State","ST","County","Republicans.2016","Democrats.2016","Green.2016","Libertarians.2016","Less.Than.High.School.Diploma","At.Least.High.School.Diploma","At.Least.Bachelors.s.Degree","Graduate.Degree","School.Enrollment","Median.Earnings.2010","Children.Under.6.Living.in.Poverty","Adults.65.and.Older.Living.in.Poverty","Total.Population","Preschool.Enrollment.Ratio.enrolled.ages.3.and.4","Poverty.Rate.below.federal.poverty.threshold","Child.Poverty.living.in.families.below.the.poverty.line","White","Black","Hispanic","Asian","Amerindian","Other","Median.Age","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","orig.id"
"800","Oklahoma","OK","Atoka County, Oklahoma",81.32746901,15.89364254,NA,2.778888445,22.7,77.3,14.5,4.5,71.35,21198.72953,36.45,19.15,14303,31.1,21.6,30.8,73.4,4.85,2.6,0.3,11.8,7.05,39.2,6.6,5.7,0.09,68.8,0.319,0.225,0.347,0.129,302.7,50.3,0.256,0.055,143.01,NA,92,NA,"800"
"420","Missouri","MO","Cedar County, Missouri",79.94584263,16.08792609,0.477859191,2.851226505,16.9,83.1,11.9,3.8,76.85,19255.83397,34.85,10.45,13886,46.1,18.95,27.35,95.65,0.05,1.55,0.35,0.8,1.6,44.5,NA,NA,0.05,48.3,0.298,NA,0.313,0.11,229.4,50.5,0.203,0.069,252.05,NA,102.2,NA,"420"
"833","Georgia","GA","Wilkes County, Georgia",57.47203579,41.25279642,NA,1.275167785,28.2,71.8,15.5,7.1,77.35,22097.22191,59.25,18.2,10442,32.7,24.4,34.5,53.1,41.65,3.25,0.25,0.55,1.2,43,4.5,NA,0.1,50.1,0.495,NA,0.327,0.164,568,175.7,0.212,0.109,494.94,NA,71.8,NA,"833"
"2120","Louisiana","LA","Rapides Parish, Louisiana",64.77004821,32.22843872,0.552447306,1.509553468,17.9,82.1,19.4,6.2,73.65,24167.63429,31.45,12.75,131870,48.2,18.15,26.85,62.95,31.4,2.4,1.05,0.65,1.5,37,3.7,3.8,0.11,58.4,0.429,0.234,0.345,0.14,797.7,369.1,0.209,0.063,765.93,8.59,69.3,11,"2120"
"1886","Missouri","MO","Christian County, Missouri",74.74754795,20.54645601,0.591873218,3.609218727,8.3,91.7,26.9,7.3,77.5,28039.19905,16.3,7.25,74986,46.7,9,12.85,94.55,0.7,2.35,0.45,0.55,1.55,36,2.8,3.7,0.06,33.9,0.206,0.209,0.293,0.085,183.3,61.1,0.169,0.058,243.02,NA,52.4,5.4,"1886"
"2253","Texas","TX","Colorado County, Texas",74.56367925,23.31367925,0.424528302,1.698113208,20.4,79.6,15.3,4,68.95,24959.56635,36.45,14.3,20714,32.9,15.4,22.95,60.55,13.4,24.85,0.4,0.05,0.7,42.5,NA,NA,0.07,50.8,0.328,NA,0.288,0.115,264.2,125.3,0.268,0.057,254.02,NA,81,NA,"2253"
"2455","Oklahoma","OK","Lincoln County, Oklahoma",77.40875652,17.30590672,NA,5.285336762,14.7,85.3,13.7,3.7,73.5,25983.58127,23,11,33204,24.9,15.2,21.95,84.45,2.2,2.35,0.35,6.15,4.45,39.4,4.7,4.5,0.08,46.3,0.293,0.27,0.319,0.119,278.1,69.9,0.224,0.051,147.14,4.68,95.2,10.3,"2455"
"2415","Louisiana","LA","St. Mary Parish, Louisiana",62.75632898,35.19741157,0.371649687,1.07122557,30.1,69.9,10.4,3,73.5,24522.17651,35.3,15.5,52867,49.2,21.25,32.25,58.85,31.75,4.25,1.6,1.6,1.9,37.2,4.8,3.5,0.11,63.4,0.448,0.221,0.38,0.127,564.5,156.7,0.235,0.075,682.49,8.2,80.9,6.8,"2415"
"412","Virginia","VA","Shenandoah County, Virginia",69.23039095,25.9109909,0.722891566,2.729284485,17.3,82.7,17.5,6.5,72.1,28894.04953,7.45,10.4,41159,20,8.85,9.55,90.5,1.8,5.75,0.55,0.15,1.25,42.8,3.2,2.8,0.07,42.1,0.331,0.206,0.3,0.119,123,48.1,0.18,0.066,92,NA,59.8,NA,"412"
"1124","Montana","MT","Cascade County, Montana",57.0203107,35.53046606,1.297055095,5.763051617,9.2,90.8,23.9,7.4,69.25,24227.57905,23.7,8.95,81619,42.2,13.55,20.2,87.65,1.3,3.3,0.65,3.85,3.2,39.2,3.7,3.6,0.07,46.2,0.305,0.178,0.268,0.083,492.4,37.2,0.197,0.054,244.33,4.62,78.7,6.7,"1124"
